Open Location Code,Category,Idea Number,Response,Upvotes,Downvotes
85QFMC9M+QR,🪧Wayfinding & Signage,idea0,Signage naming area mountain ranges and peaks,2,2
85QFMC9M+QR,🪧Wayfinding & Signage,idea1,Signs to other north side trails,1,0
85QFMC9M+QR,🚲Bike Use,idea0,Bike Skills/jump park,1,0
85QFMC9M+QR,🛝Recreation Area,idea0,Playground equipment for teens and adults (similar to Sacajawea’s swings and swinging benches),1,1
85QFMC9M+QR,🛝Recreation Area,idea1,North Side Park,0,0
85QFMC9J+QX,🚗Parking,idea0,Parking,0,1
85QFMCCM+2Q,🚻Restrooms,idea0,Pitty Potty stop,0,0
85QFMCCM+2Q,🚻Restrooms,idea1,Potty,0,0
85QFMCCM+2Q,🌳Planting,idea0,community orchard,0,0
85QFMC9J+CX,🪧Wayfinding & Signage,idea0,"Park signage/kiosk/map/rules. trash, poop bags",0,0
85QFMC9M+VP,🌳Planting,idea0,"Natural play area, with minimal development, native plants and trees, seating and shade",1,0
85QFMC9M+VP,🌳Planting,idea1,community garden,0,0
85QFMC9M+VP,🛝Recreation Area,idea0,"Overlook and various seating areas. Interactive art/play features, gravel pathways. Native Plant scape and trees",0,0
85QFMC9J+JX,🌳Planting,idea0,"Native plantings of chokecherry and buffalo berry.  This would provide opportunities for all community members to harvest the berries for preservation in jams, jellies, and syrups.",1,0
85QFMC9J+JX,🌳Planting,idea1,D3 - Wind Protection (Trees),0,0
85QFMC9J+JX,🚗Parking,idea0,Off-Street Parking and Bathroom,0,0
85QFMC9M+VF,🥾Pedestrian Use,idea0,Natural Surface Gravel Trail,0,0
85QFMC9M+M9,Fences & Barriers,idea0,Several Trees for shade and to obscure the utility infrastructure,1,0
85QFMC9M+M9,🚻Restrooms,idea0,"If a restroom must be built, I suggest putting it next to the existing city structure to reduce the eye soar of a new crapper on the hill.  The existing city buidling is a cinderblock structure with a graveled driveway off East Reservoir street.",1,0
85QFMC9M+XM,🛝Recreation Area,idea0,Kids splash pad,2,1
85QFMC9M+XM,🥾Pedestrian Use,idea0,Walking Path,0,0
85QFMC9M+XM,🥾Pedestrian Use,idea1,D2 Dog walking trail,0,0
85QFMC9M+RG,🚲Bike Use,idea0,Outer park loop,1,0
85QFMC9M+RG,🛝Recreation Area,idea0,"Playground with climbing structures, swings, in-ground slide",0,0
85QFMC9M+RG,Fences & Barriers,idea0,fencing - non-chain link,0,1
85QFMC9M+M5,🚲Bike Use,idea0,Bike Use Area,2,0
85QFMCCM+3J,🥾Pedestrian Use,idea0,ADA accessible trail with benches and viewpoint,0,0
85QFMC9M+MG,🥾Pedestrian Use,idea0,Perimeter Trail,0,0
85QFMC9M+J2,🌳Planting,idea0,"Natural area with native plantings, shade, benches",0,0
85QFMC9M+J2,🛝Recreation Area,idea0,D1 Sports field,0,2
85QFMC9M+XR,🥾Pedestrian Use,idea0,"Trail around dog park, connecting to north side trail system",0,0
85QFMC9M+XJ,Fences & Barriers,idea0,Fenced dog park,0,0
85QFMC9M+G3,🛝Recreation Area,idea0,"There are no recreation areas for kids to play with on the north side except the swings by the cemetary, it would be great to have a natural play area, boulders, tree stumps, mounds of dirt that grasses can grow on to roll down and jump off of",1,0
85QFMC9M+G3,🌳Planting,idea0,D2 - Lawn + passive,0,1
85QFMC9M+G2,🚲Bike Use,idea0,"Small pump track for kids to enjoy the space and use there bike in a safe area, use of dirt or items that can easily be rearranged",3,0
85QFMC9M+G2,🛝Recreation Area,idea0,"woold chips, bridge and natural kid playing area",0,0
85QFMC9M+G2,🚗Parking,idea0,Parking area,0,0
85QFMC9M+QF,🛝Recreation Area,idea0,Kids playground,1,0
85QFMC9M+QF,🚗Parking,idea0,Small parking lot with a few trees for shade,0,1
85QFMC9M+WM,Fences & Barriers,idea0,Fenced in dog park,0,0
85QFMC9M+WM,🚗Parking,idea0,Traffic speeding,0,0
85QFMC9M+J6,🌳Planting,idea0,1 prta-potty bathroom - near the concrete building,0,0
85QFMC9M+VR,🌳Planting,idea0,"Native plants and flowers for pollinator for bees, butterflys, with a bench and with a natural walking trail with educational information",1,0
85QFMC9M+R5,🌳Planting,idea0,"Approximatley here is the chainline fence protecting one of the cities water tanks.  It is a bit of an eye soar.  More plantings of chokecherry and buffalo berry, which are drouht tolerant, to hide the fence and provide berry (jellies, jams, etc) harvesting opportunties for the community.",0,0
85QFMCCP+3G,🌳Planting,idea0,The road this polygon highlights does not exist.,0,0
85QFMC9J+8Q,🌳Planting,idea0,Community garden/orchard,1,0
85QFMC9J+8Q,🌳Planting,idea1,D3 - Community Garden,0,0
85QFMC9J+8Q,Fences & Barriers,idea0,"Short, 3 ft heigh, fence around the kids play area.",0,0
85QFMC9J+8Q,🛝Recreation Area,idea0,D1 - Play area,0,0
85QFMC9J+8Q,🛝Recreation Area,idea1,D1 Children's play area,0,0
85QFMC9J+8R,🛝Recreation Area,idea0,Kids play area.,0,0
85QFMCCM+2J,🌳Planting,idea0,"This area is a steep bank from the edge of Blue Heron Dr..  It has may weed issues and it would be a suggestion to pant native sagebrush along this bank.  It will hellp provide bank stability, and provide native cover habitiat resident cottontailed rabbits and denning sites for the red foxes.",1,0
85QFMCCM+2J,🌳Planting,idea1,Spotted Knapweed management,1,0
85QFMC9M+P7,🚰Water Services,idea0,drinking fountains,0,0
85QFMC9M+VC,🚲Bike Use,idea0,Kids bike park,3,0
85QFMC9M+VC,🥾Pedestrian Use,idea0,D3 - Walking Path,1,0
85QFMC9M+H2,Fences & Barriers,idea0,paved sidewalk surrounding entire park with upper portion a playground with shade trees for children. Lower portion could be a fenced in dog park. Parking could just be standard street parking.,1,1
85QFMC9M+H2,🚗Parking,idea0,Parking,1,1
85QFMC9M+H2,🌳Planting,idea0,D3 - Passive Lawn,0,0
85QFMC9M+H4,🛝Recreation Area,idea0,D3 - Play Structure/ Area,0,0
85QFMC9M+PF,🚻Restrooms,idea0,D3 - Toilet,0,0
85QFMC9M+RH,🥾Pedestrian Use,idea0,D3 - Shade Structure,0,0
85QFMC9M+RH,Fences & Barriers,idea0,D1 Entrance,0,0
85QFMC9M+XW,Fences & Barriers,idea0,D3 - Dog Park Entrance,0,2
85QFMC9M+X7,🪧Wayfinding & Signage,idea0,D3 - Scenic Overlook,0,0
85QFMC9M+XP,🌳Planting,idea0,D2 Shade Structure,1,0
85QFMC9M+XP,🌳Planting,idea1,D2 Dog walking trails,0,0
85QFMC9M+XP,Fences & Barriers,idea0,Dog Park,1,2
85QFMC9M+XP,🪧Wayfinding & Signage,idea0,D1 Dog walking trail,0,0
85QFMCCP+35,🪧Wayfinding & Signage,idea0,D2 Entrance,0,0
85QFMCCP+35,🪧Wayfinding & Signage,idea1,D1 Entrance,0,0
85QFMC9M+QJ,🥾Pedestrian Use,idea0,D2 Utility,0,0
85QFMC9M+QJ,🪧Wayfinding & Signage,idea0,Entrance,0,0
85QFMC9M+QJ,🪧Wayfinding & Signage,idea1,D1 Utilities,0,0
85QFMC9M+PG,🚻Restrooms,idea0,D2 Parking,0,1
85QFMC9M+QG,🚻Restrooms,idea0,D2 Toilets,0,0
85QFMC9M+QG,🚻Restrooms,idea1,D1 Toilets,0,0
85QFMC9J+GV,🌳Planting,idea0,D2 Wind protection,0,0
85QFMC9J+QW,🌳Planting,idea0,D2 Wind Protection,0,0
85QFMCCM+3V,🌳Planting,idea0,D1 Shade structure,1,0
85QFMC9M+MF,🌳Planting,idea0,D1 Community Garden,0,0
85QFMC9M+PH,🚗Parking,idea0,D1 Parking,0,2
85QFMC9M+H6,🛝Recreation Area,idea0,D1 Sports Court,0,2
85QFMC9J+JW,🌳Planting,idea0,D1 Trees Wind Protection,0,0
85QFMC9J+CQ,🛝Recreation Area,idea0,D1 Picnic Shelter,0,0
85QFMC79+2Q,🌳Planting,idea0,Keep the trees alive that have already been planted on this connector trail,1,0
85QFMC7G+66,🥾Pedestrian Use,idea0,"Fix the road, install sidewalks on Reservoir Street to make pedestrian traffic safe between trails and parks",2,0
85QFMC8H+F9,🥾Pedestrian Use,idea0,Connect Reservoir Park with connector trail to Dickerson Field,2,0
85QFMC9M+WP,🛝Recreation Area,idea0,Kids bikes skills and natural play ground,4,0
85QFMC9M+WC,🚲Bike Use,idea0,Mountain Bike trail,3,1
85QFMCCM+3M,🚗Parking,idea0,south side Blue Heron Dr.,0,0
85QFMC9M+RR,🚗Parking,idea0,parking along north side E Res St,0,1
85QFMC9M+XF,🛝Recreation Area,idea0,Picnic and shade things,1,0
85QFMCCP+34,🚗Parking,idea0,Bike parking,0,0
85QFMC9M+MC,🚻Restrooms,idea0,Vauly toilet,0,0
85QFMC9M+R8,🚗Parking,idea0,PARKING,0,1
85QFMCCP+37,🚗Parking,idea0,Good area for parking,0,0
85QFMCCM+3R,🌳Planting,idea0,New trees and sitting area,2,0
